latitude,longitude,address,year,bedrooms,full_bth,half_bth,square_foot,res,condo,yr_built
42.38929,-71.00598,126 128 GLADSTONE ST 02128,2021,6,2,0,5637,1,0,1910
42.38921,-71.00531,116 A116 GLADSTONE ST 02128,2021,7,3,0,3758,1,0,1910
42.3891,-71.00431,104 102 GLADSTONE ST 02128,2021,4,3,0,2870,1,0,1915
42.38879,-71.00412,192 196 LEYDEN ST 02128,2021,14,3,0,4400,1,0,1890
42.38997,-71.00376,98 100 ORIENT AV 02128,2021,5,3,1,7770,1,0,1915
42.38995,-71.00339,90 92 ORIENT AV 02128,2021,8,3,0,7500,1,0,1930
42.38996,-71.00302,84 86 ORIENT AV 02128,2021,8,3,0,7500,1,0,1935
42.389878,-71.001702,60 62 ORIENT AV 02128,2021,4,2,0,7500,1,0,1918
42.389863,-71.001417,54 56 ORIENT AV 02128,2021,6,2,0,15000,1,0,1918
42.38986,-71.00097,42 44 ORIENT AV 02128,2021,6,2,0,7500,1,0,1918
42.38935,-71.00096,33 R33 GLADSTONE ST 02128,2021,9,3,0,15000,1,0,1910
42.38938,-71.00174,47 49 GLADSTONE ST 02128,2021,4,2,0,7500,1,0,1950
42.3894,-71.00287,71 73 GLADSTONE ST 02128,2021,6,2,0,7500,1,0,1915
42.389907,-71.007736,183 185 GLADSTONE ST 02128,2021,6,2,1,9180,1,0,1925
42.39039,-71.0066,162 164 ORIENT AV 02128,2021,4,2,0,9612,1,0,1930
42.38992,-71.00898,202 204 GLADSTONE ST 02128,2021,4,3,0,5246,1,0,1885
42.39113,-71.00358,    BEACHVIEW RD 02128,2021,3,2,0,5005,1,0,2015
42.39113,-71.00358,    BEACHVIEW RD 02128,2021,3,1,1,5000,1,0,2001
42.39061,-71.0036,36 A BEACHVIEW RD 02128,2021,2,1,0,4414,1,0,1950
42.39028,-71.0025,75 79 ORIENT AV 02128,2021,6,2,0,10906,1,0,1928
42.390319,-71.002879,81 83 ORIENT AV 02128,2021,4,2,0,6537,1,0,1923
42.390291,-71.003241,87 89 ORIENT AV 02128,2021,6,2,0,5200,1,0,1920
